Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PUT /api/items/916,1,186,186,186,186,186,186,186,0.000%,5.37634,2.49,1.57
GET /api/items/381,1,178,178,178,178,178,178,178,0.000%,5.61798,2.61,1.05
GET /api/items/008,1,173,173,173,173,173,173,173,0.000%,5.78035,2.67,1.08
GET /api/items/402,1,177,177,177,177,177,177,177,0.000%,5.64972,2.62,1.06
GET /api/items/436,2,184,175,193,193,193,175,193,0.000%,.25145,0.12,0.05
PUT /api/items/825,2,193,189,198,198,198,189,198,0.000%,.22720,0.11,0.07
PUT /api/items/695,1,175,175,175,175,175,175,175,0.000%,5.71429,2.65,1.67
GET /api/items/665,1,167,167,167,167,167,167,167,0.000%,5.98802,2.78,1.12
PUT /api/items/397,1,206,206,206,206,206,206,206,0.000%,4.85437,2.25,1.42
GET /api/items/616,1,182,182,182,182,182,182,182,0.000%,5.49451,2.55,1.03
GET /api/items/923,1,165,165,165,165,165,165,165,0.000%,6.06061,2.81,1.14
GET /api/items/316,2,167,161,174,174,174,161,174,0.000%,.40290,0.19,0.08
PUT /api/items/213,1,191,191,191,191,191,191,191,0.000%,5.23560,2.43,1.53
GET /api/items/054,1,182,182,182,182,182,182,182,0.000%,5.49451,2.54,1.03
PUT /api/items/745,1,197,197,197,197,197,197,197,0.000%,5.07614,2.35,1.48
PUT /api/items/269,1,187,187,187,187,187,187,187,0.000%,5.34759,2.48,1.56
GET /api/items/982,1,184,184,184,184,184,184,184,0.000%,5.43478,2.52,1.02
GET /api/items/574,1,173,173,173,173,173,173,173,0.000%,5.78035,2.68,1.08
GET /api/items/898,1,199,199,199,199,199,199,199,0.000%,5.02513,2.33,0.94
PUT /api/items/975,1,181,181,181,181,181,181,181,0.000%,5.52486,2.56,1.61
GET /api/items/939,1,174,174,174,174,174,174,174,0.000%,5.74713,2.67,1.08
PUT /api/items/835,1,209,209,209,209,209,209,209,0.000%,4.78469,2.22,1.40
PUT /api/items/798,1,185,185,185,185,185,185,185,0.000%,5.40541,2.51,1.58
GET /api/items/907,1,198,198,198,198,198,198,198,0.000%,5.05051,2.34,0.95
GET /api/items/047,1,171,171,171,171,171,171,171,0.000%,5.84795,2.71,1.10
GET /api/items/891,1,193,193,193,193,193,193,193,0.000%,5.18135,2.40,0.97
PUT /api/items/106,1,194,194,194,194,194,194,194,0.000%,5.15464,2.39,1.51
GET /api/items/247,1,190,190,190,190,190,190,190,0.000%,5.26316,2.44,0.99
PUT /api/items/278,1,193,193,193,193,193,193,193,0.000%,5.18135,2.40,1.51
PUT /api/items/097,1,186,186,186,186,186,186,186,0.000%,5.37634,2.49,1.57
GET /api/items/555,1,175,175,175,175,175,175,175,0.000%,5.71429,2.65,1.07
GET /api/items/045,2,173,163,184,184,184,163,184,0.000%,.14387,0.07,0.03
GET /api/items/990,1,188,188,188,188,188,188,188,0.000%,5.31915,2.47,1.00
PUT /api/items/059,1,199,199,199,199,199,199,199,0.000%,5.02513,2.33,1.47
GET /api/items/642,1,175,175,175,175,175,175,175,0.000%,5.71429,2.65,1.07
PUT /api/items/260,1,181,181,181,181,181,181,181,0.000%,5.52486,2.56,1.61
PUT /api/items/221,1,200,200,200,200,200,200,200,0.000%,5.00000,2.32,1.46
GET /api/items/710,1,192,192,192,192,192,192,192,0.000%,5.20833,2.42,0.98
GET /api/items/727,1,191,191,191,191,191,191,191,0.000%,5.23560,2.43,0.98
GET /api/items/193,1,191,191,191,191,191,191,191,0.000%,5.23560,2.43,0.98
PUT /api/items/564,1,196,196,196,196,196,196,196,0.000%,5.10204,2.37,1.49
GET /api/items/245,1,196,196,196,196,196,196,196,0.000%,5.10204,2.37,0.96
PUT /api/items/265,1,200,200,200,200,200,200,200,0.000%,5.00000,2.32,1.46
PUT /api/items/873,1,193,193,193,193,193,193,193,0.000%,5.18135,2.40,1.51
GET /api/items/906,1,173,173,173,173,173,173,173,0.000%,5.78035,2.68,1.08
GET /api/items/657,1,193,193,193,193,193,193,193,0.000%,5.18135,2.40,0.97
GET /api/items/326,1,191,191,191,191,191,191,191,0.000%,5.23560,2.43,0.98
GET /api/items/992,2,174,173,176,176,176,173,176,0.000%,1.30039,0.60,0.24
PUT /api/items/286,1,196,196,196,196,196,196,196,0.000%,5.10204,2.37,1.49
PUT /api/items/481,1,187,187,187,187,187,187,187,0.000%,5.34759,2.48,1.56
GET /api/items/830,1,174,174,174,174,174,174,174,0.000%,5.74713,2.67,1.08
GET /api/items/825,1,197,197,197,197,197,197,197,0.000%,5.07614,2.35,0.95
GET /api/items/168,1,183,183,183,183,183,183,183,0.000%,5.46448,2.53,1.02
PUT /api/items/794,1,197,197,197,197,197,197,197,0.000%,5.07614,2.35,1.48
GET /api/items/970,1,175,175,175,175,175,175,175,0.000%,5.71429,2.65,1.07
PUT /api/items/546,1,182,182,182,182,182,182,182,0.000%,5.49451,2.55,1.60
PUT /api/items/614,1,183,183,183,183,183,183,183,0.000%,5.46448,2.53,1.60
GET /api/items/655,1,172,172,172,172,172,172,172,0.000%,5.81395,2.70,1.09
GET /api/items/837,1,177,177,177,177,177,177,177,0.000%,5.64972,2.62,1.06
