Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items/231,2,169,137,202,202,202,137,202,0.000%,.10764,0.05,0.02
GET /api/items/014,1,201,201,201,201,201,201,201,0.000%,4.97512,2.50,0.91
GET /api/items/105,1,152,152,152,152,152,152,152,0.000%,6.57895,3.31,1.21
PUT /api/items/354,1,143,143,143,143,143,143,143,0.000%,6.99301,3.52,2.01
GET /api/items/175,1,186,186,186,186,186,186,186,0.000%,5.37634,2.70,0.99
GET /api/items/029,3,198,225,227,227,227,144,227,0.000%,.12614,0.06,0.02
PUT /api/items/335,2,146,132,160,160,160,132,160,0.000%,.07515,0.04,0.02
PUT /api/items/378,2,170,98,242,242,242,98,242,0.000%,.14269,0.07,0.04
GET /api/items/093,1,98,98,98,98,98,98,98,0.000%,10.20408,5.12,1.87
GET /api/items/301,2,173,109,237,237,237,109,237,0.000%,.08652,0.04,0.02
GET /api/items/798,2,172,157,188,188,188,157,188,0.000%,.20398,0.10,0.04
GET /api/items/874,1,182,182,182,182,182,182,182,0.000%,5.49451,2.76,1.01
PUT /api/items/344,1,108,108,108,108,108,108,108,0.000%,9.25926,4.66,2.67
GET /api/items/459,2,205,172,238,238,238,172,238,0.000%,.33036,0.17,0.06
PUT /api/items/140,1,153,153,153,153,153,153,153,0.000%,6.53595,3.29,1.88
GET /api/items/513,1,115,115,115,115,115,115,115,0.000%,8.69565,4.37,1.60
GET /api/items/147,1,107,107,107,107,107,107,107,0.000%,9.34579,4.70,1.72
GET /api/items/325,1,117,117,117,117,117,117,117,0.000%,8.54701,4.30,1.57
PUT /api/items/158,2,200,150,251,251,251,150,251,0.000%,.26264,0.13,0.08
GET /api/items/077,1,135,135,135,135,135,135,135,0.000%,7.40741,3.72,1.36
GET /api/items/734,1,114,114,114,114,114,114,114,0.000%,8.77193,4.41,1.61
PUT /api/items/350,2,170,163,178,178,178,163,178,0.000%,.15872,0.08,0.05
GET /api/items/751,2,185,134,236,236,236,134,236,0.000%,.08319,0.04,0.02
PUT /api/items/488,1,116,116,116,116,116,116,116,0.000%,8.62069,4.34,2.48
GET /api/items/982,1,199,199,199,199,199,199,199,0.000%,5.02513,2.53,0.92
GET /api/items/600,2,183,159,207,207,207,159,207,0.000%,.17790,0.09,0.03
GET /api/items/214,2,151,125,177,177,177,125,177,0.000%,.10834,0.05,0.02
PUT /api/items/752,1,181,181,181,181,181,181,181,0.000%,5.52486,2.78,1.59
GET /api/items/476,1,139,139,139,139,139,139,139,0.000%,7.19424,3.62,1.32
GET /api/items/879,1,183,183,183,183,183,183,183,0.000%,5.46448,2.75,1.00
GET /api/items/206,2,128,119,137,137,137,119,137,0.000%,.55772,0.28,0.10
PUT /api/items/206,1,153,153,153,153,153,153,153,0.000%,6.53595,3.29,1.88
PUT /api/items/824,1,164,164,164,164,164,164,164,0.000%,6.09756,3.07,1.76
PUT /api/items/549,1,164,164,164,164,164,164,164,0.000%,6.09756,3.07,1.76
PUT /api/items/098,2,122,113,131,131,131,113,131,0.000%,.14695,0.07,0.04
GET /api/items/970,1,236,236,236,236,236,236,236,0.000%,4.23729,2.13,0.78
GET /api/items/187,2,120,98,143,143,143,98,143,0.000%,.18060,0.09,0.03
GET /api/items/322,1,180,180,180,180,180,180,180,0.000%,5.55556,2.79,1.02
